"姓名","統率","武力","智力","魅力","運勢","版本","政治","陸指","水指","體力"
"宗預",33,36,72,73,NA,"三國志4",40,NA,NA,NA
"武安國",55,69,21,21,NA,"三國志4",18,NA,NA,NA
"法正",74,45,84,80,NA,"三國志4",87,NA,NA,NA
"沮授",78,53,87,80,NA,"三國志4",88,NA,NA,NA
"金旋",34,50,26,32,NA,"三國志4",30,NA,NA,NA
"金環三結",54,80,15,18,NA,"三國志4",18,NA,NA,NA
"阿會喃",60,79,26,19,NA,"三國志4",33,NA,NA,NA
"侯成",65,68,41,42,NA,"三國志4",40,NA,NA,NA
"俄何燒戈",61,72,17,15,NA,"三國志4",11,NA,NA,NA
"姜維",89,91,95,85,NA,"三國志4",86,NA,NA,NA
"皇甫嵩",69,69,64,76,NA,"三國志4",75,NA,NA,NA
"紀靈",72,80,34,49,NA,"三國志4",29,NA,NA,NA
"胡烈",60,64,41,57,NA,"三國志4",24,NA,NA,NA
"胡班",61,64,63,61,NA,"三國志4",50,NA,NA,NA
"胡奮",76,65,68,61,NA,"三國志4",24,NA,NA,NA
"胡遵",67,66,49,62,NA,"三國志4",48,NA,NA,NA
"倫直",41,57,66,64,NA,"三國志4",60,NA,NA,NA
"凌統",70,81,58,62,NA,"三國志4",56,NA,NA,NA
"凌操",72,83,23,50,NA,"三國志4",14,NA,NA,NA
"唐咨",55,62,49,52,NA,"三國志4",45,NA,NA,NA
"夏侯玄",31,33,75,76,NA,"三國志4",94,NA,NA,NA
"夏侯和",84,67,85,73,NA,"三國志4",74,NA,NA,NA
"夏侯尚",69,65,67,64,NA,"三國志4",54,NA,NA,NA
"夏侯威",74,79,71,73,NA,"三國志4",64,NA,NA,NA
"夏侯恩",52,60,60,65,NA,"三國志4",51,NA,NA,NA
"夏侯惇",94,96,62,78,NA,"三國志4",56,NA,NA,NA
"夏侯淵",90,92,57,78,NA,"三國志4",56,NA,NA,NA
"夏侯惠",80,71,80,73,NA,"三國志4",78,NA,NA,NA
"夏侯楙",26,47,32,25,NA,"三國志4",40,NA,NA,NA
"夏侯德",55,64,57,66,NA,"三國志4",52,NA,NA,NA
"夏侯霸",83,89,68,73,NA,"三國志4",72,NA,NA,NA
"奚泥",61,79,26,16,NA,"三國志4",10,NA,NA,NA
"孫休",50,38,69,66,NA,"三國志4",64,NA,NA,NA
"孫匡",57,45,57,51,NA,"三國志4",66,NA,NA,NA
"孫秀",67,72,41,61,NA,"三國志4",60,NA,NA,NA
"孫和",37,36,48,77,NA,"三國志4",51,NA,NA,NA
"孫亮",29,27,80,88,NA,"三國志4",64,NA,NA,NA
"孫峻",60,69,61,46,NA,"三國志4",59,NA,NA,NA
"孫朗",44,55,54,54,NA,"三國志4",61,NA,NA,NA
"孫桓",75,71,60,73,NA,"三國志4",52,NA,NA,NA
"孫乾",33,41,70,90,NA,"三國志4",74,NA,NA,NA
"孫堅",95,92,83,91,NA,"三國志4",68,NA,NA,NA
"孫異",78,65,58,70,NA,"三國志4",47,NA,NA,NA
"孫翊",72,79,44,45,NA,"三國志4",35,NA,NA,NA
"孫登",34,32,51,78,NA,"三國志4",56,NA,NA,NA
"孫皓",67,75,64,47,NA,"三國志4",25,NA,NA,NA
"孫策",95,93,85,92,NA,"三國志4",69,NA,NA,NA
"孫瑜",72,65,54,72,NA,"三國志4",55,NA,NA,NA
"孫歆",50,68,41,47,NA,"三國志4",33,NA,NA,NA
"孫韶",72,72,33,70,NA,"三國志4",22,NA,NA,NA
"孫綝",63,74,23,29,NA,"三國志4",25,NA,NA,NA
"孫冀",70,63,70,69,NA,"三國志4",52,NA,NA,NA
"孫靜",62,61,62,63,NA,"三國志4",59,NA,NA,NA
"孫禮",66,72,69,59,NA,"三國志4",62,NA,NA,NA
"孫權",89,82,87,97,NA,"三國志4",73,NA,NA,NA
"師纂",71,69,31,53,NA,"三國志4",45,NA,NA,NA
"徐晃",84,91,48,61,NA,"三國志4",37,NA,NA,NA
"徐庶",87,67,96,84,NA,"三國志4",88,NA,NA,NA
"徐盛",83,80,83,78,NA,"三國志4",70,NA,NA,NA
"徐榮",40,54,39,40,NA,"三國志4",44,NA,NA,NA
"徐質",66,71,40,60,NA,"三國志4",48,NA,NA,NA
"桓範",39,19,81,66,NA,"三國志4",60,NA,NA,NA
"留略",59,67,61,55,NA,"三國志4",42,NA,NA,NA
"祖茂",60,70,62,83,NA,"三國志4",58,NA,NA,NA
"祝融",63,79,16,36,NA,"三國志4",13,NA,NA,NA
"秦宓",38,31,71,67,NA,"三國志4",65,NA,NA,NA
"荀攸",60,38,94,80,NA,"三國志4",91,NA,NA,NA
"荀彧",64,35,97,84,NA,"三國志4",90,NA,NA,NA
"袁尚",61,72,46,60,NA,"三國志4",52,NA,NA,NA
"袁胤",27,24,60,65,NA,"三國志4",63,NA,NA,NA
"袁紹",75,80,72,80,NA,"三國志4",52,NA,NA,NA
"袁術",78,63,67,55,NA,"三國志4",61,NA,NA,NA
"袁熙",70,54,65,53,NA,"三國志4",64,NA,NA,NA
"袁譚",61,54,44,54,NA,"三國志4",59,NA,NA,NA
"迷當大王",62,79,34,41,NA,"三國志4",19,NA,NA,NA
"郝昭",87,84,83,84,NA,"三國志4",80,NA,NA,NA
"馬休",48,56,48,51,NA,"三國志4",36,NA,NA,NA
"馬良",72,41,85,87,NA,"三國志4",94,NA,NA,NA
"馬岱",77,83,47,73,NA,"三國志4",39,NA,NA,NA
"馬忠",54,58,51,47,NA,"三國志4",44,NA,NA,NA
"馬忠",78,69,52,60,NA,"三國志4",31,NA,NA,NA
"馬玩",52,60,42,25,NA,"三國志4",18,NA,NA,NA
"馬超",86,99,43,70,NA,"三國志4",31,NA,NA,NA
"馬遵",48,67,62,67,NA,"三國志4",57,NA,NA,NA
"馬謖",72,69,85,69,NA,"三國志4",68,NA,NA,NA
"馬邈",54,33,32,26,NA,"三國志4",49,NA,NA,NA
"馬騰",88,93,54,87,NA,"三國志4",46,NA,NA,NA
"馬鐵",58,63,36,54,NA,"三國志4",29,NA,NA,NA
"高沛",56,57,44,50,NA,"三國志4",41,NA,NA,NA
"高定",62,67,24,41,NA,"三國志4",22,NA,NA,NA
"高翔",67,64,48,60,NA,"三國志4",39,NA,NA,NA
"高順",68,68,52,69,NA,"三國志4",41,NA,NA,NA
"高覽",67,74,50,62,NA,"三國志4",40,NA,NA,NA
"郤正",45,23,74,71,NA,"三國志4",66,NA,NA,NA
"帶來洞主",52,69,13,14,NA,"三國志4",11,NA,NA,NA
"張允",50,58,60,45,NA,"三國志4",69,NA,NA,NA
"張布",67,72,54,56,NA,"三國志4",50,NA,NA,NA
"張休",45,32,71,74,NA,"三國志4",81,NA,NA,NA
"張任",88,87,70,76,NA,"三國志4",52,NA,NA,NA
"張松",32,35,85,77,NA,"三國志4",92,NA,NA,NA
"張虎",60,60,57,63,NA,"三國志4",53,NA,NA,NA
"張南",46,56,46,52,NA,"三國志4",43,NA,NA,NA
"張昭",37,23,88,83,NA,"三國志4",98,NA,NA,NA
"張英",59,71,47,55,NA,"三國志4",42,NA,NA,NA
"張苞",80,90,40,55,NA,"三國志4",37,NA,NA,NA
"張郃",88,93,61,62,NA,"三國志4",54,NA,NA,NA
"張飛",79,99,39,39,NA,"三國志4",22,NA,NA,NA
"張悌",77,47,71,74,NA,"三國志4",76,NA,NA,NA
"張紘",27,19,87,84,NA,"三國志4",96,NA,NA,NA
"張紹",64,46,72,64,NA,"三國志4",66,NA,NA,NA
"張華",51,24,76,67,NA,"三國志4",71,NA,NA,NA
"張象",53,57,26,40,NA,"三國志4",48,NA,NA,NA
"張溫",26,20,59,60,NA,"三國志4",69,NA,NA,NA
"張節",49,42,41,71,NA,"三國志4",62,NA,NA,NA
"張衛",62,71,35,65,NA,"三國志4",31,NA,NA,NA
"張魯",77,69,81,91,NA,"三國志4",67,NA,NA,NA
"張勳",70,64,65,61,NA,"三國志4",41,NA,NA,NA
"張橫",56,71,31,29,NA,"三國志4",27,NA,NA,NA
"張燕",76,69,53,76,NA,"三國志4",44,NA,NA,NA
"張遼",91,90,82,85,NA,"三國志4",69,NA,NA,NA
"張濟",76,70,58,72,NA,"三國志4",65,NA,NA,NA
"張翼",79,73,61,69,NA,"三國志4",55,NA,NA,NA
"張嶷",59,73,67,77,NA,"三國志4",72,NA,NA,NA
"張繡",68,76,58,70,NA,"三國志4",49,NA,NA,NA
"張邈",50,58,27,36,NA,"三國志4",17,NA,NA,NA
"曹仁",79,83,61,68,NA,"三國志4",58,NA,NA,NA
"曹丕",76,75,64,77,NA,"三國志4",80,NA,NA,NA
"曹休",74,73,65,74,NA,"三國志4",59,NA,NA,NA
"曹宇",62,69,67,75,NA,"三國志4",71,NA,NA,NA
"曹昂",54,60,53,68,NA,"三國志4",49,NA,NA,NA
"曹芳",45,53,47,55,NA,"三國志4",55,NA,NA,NA
"曹奐",40,28,38,60,NA,"三國志4",39,NA,NA,NA
"曹洪",76,75,45,70,NA,"三國志4",42,NA,NA,NA
"曹真",79,71,61,72,NA,"三國志4",50,NA,NA,NA
"曹純",55,62,51,49,NA,"三國志4",44,NA,NA,NA
"曹訓",75,69,56,69,NA,"三國志4",52,NA,NA,NA
"曹豹",17,67,15,13,NA,"三國志4",16,NA,NA,NA
"曹爽",57,64,50,61,NA,"三國志4",49,NA,NA,NA
"曹植",20,14,89,82,NA,"三國志4",75,NA,NA,NA
"曹彰",81,94,41,70,NA,"三國志4",38,NA,NA,NA
"曹熊",52,64,59,47,NA,"三國志4",66,NA,NA,NA
"曹髦",43,63,35,39,NA,"三國志4",30,NA,NA,NA
"曹操",99,88,92,98,NA,"三國志4",97,NA,NA,NA
"曹羲",53,67,48,60,NA,"三國志4",41,NA,NA,NA
"曹叡",62,65,80,73,NA,"三國志4",73,NA,NA,NA
"梁興",59,71,18,68,NA,"三國志4",22,NA,NA,NA
"淳于瓊",65,75,61,57,NA,"三國志4",48,NA,NA,NA
"牽弘",71,67,52,68,NA,"三國志4",53,NA,NA,NA
"笮融",46,44,60,39,NA,"三國志4",61,NA,NA,NA
"許攸",50,46,62,42,NA,"三國志4",77,NA,NA,NA
"許靖",35,21,76,56,NA,"三國志4",77,NA,NA,NA
"許褚",83,97,26,68,NA,"三國志4",16,NA,NA,NA
"許儀",40,65,52,50,NA,"三國志4",28,NA,NA,NA
"逢紀",65,53,83,53,NA,"三國志4",65,NA,NA,NA
"郭汜",59,64,33,39,NA,"三國志4",34,NA,NA,NA
"郭攸之",40,32,74,70,NA,"三國志4",85,NA,NA,NA
"郭奕",36,28,69,47,NA,"三國志4",83,NA,NA,NA
"郭淮",79,72,67,54,NA,"三國志4",65,NA,NA,NA
"郭嘉",42,27,99,89,NA,"三國志4",92,NA,NA,NA
"郭圖",39,33,71,40,NA,"三國志4",82,NA,NA,NA
"陳武",56,71,56,39,NA,"三國志4",49,NA,NA,NA
"陳宮",83,59,84,67,NA,"三國志4",85,NA,NA,NA
"陳泰",67,80,78,69,NA,"三國志4",69,NA,NA,NA
"陳珪",28,18,69,79,NA,"三國志4",77,NA,NA,NA
"陳琳",53,21,80,56,NA,"三國志4",67,NA,NA,NA
"陳登",40,26,70,75,NA,"三國志4",72,NA,NA,NA
"陳群",71,48,91,74,NA,"三國志4",90,NA,NA,NA
"陳震",34,36,66,43,NA,"三國志4",77,NA,NA,NA
"陳橫",52,62,49,55,NA,"三國志4",38,NA,NA,NA
"陳矯",22,16,67,70,NA,"三國志4",79,NA,NA,NA
"陳騫",60,74,62,55,NA,"三國志4",45,NA,NA,NA
"陸抗",94,72,80,85,NA,"三國志4",72,NA,NA,NA
"陸凱",51,30,71,74,NA,"三國志4",85,NA,NA,NA
"陸遜",96,79,97,95,NA,"三國志4",87,NA,NA,NA
"陸績",30,22,67,64,NA,"三國志4",53,NA,NA,NA
"陶濬",67,61,50,42,NA,"三國志4",32,NA,NA,NA
"陶謙",53,39,59,75,NA,"三國志4",63,NA,NA,NA
"傅彤",62,70,66,69,NA,"三國志4",60,NA,NA,NA
"傅幹",40,44,65,60,NA,"三國志4",79,NA,NA,NA
"傅巽",35,43,67,53,NA,"三國志4",74,NA,NA,NA
"傅僉",68,81,45,62,NA,"三國志4",46,NA,NA,NA
"傅嬰",74,68,58,63,NA,"三國志4",44,NA,NA,NA
"程武",58,44,80,71,NA,"三國志4",66,NA,NA,NA
"程秉",21,17,68,78,NA,"三國志4",69,NA,NA,NA
"程昱",82,25,91,74,NA,"三國志4",80,NA,NA,NA
"程普",85,68,82,86,NA,"三國志4",72,NA,NA,NA
"程銀",63,68,35,45,NA,"三國志4",31,NA,NA,NA
"華雄",86,89,27,44,NA,"三國志4",29,NA,NA,NA
"華歆",26,45,66,32,NA,"三國志4",75,NA,NA,NA
"華覈",52,21,79,71,NA,"三國志4",52,NA,NA,NA
"費詩",18,30,54,56,NA,"三國志4",64,NA,NA,NA
"費禕",38,17,75,82,NA,"三國志4",88,NA,NA,NA
"越吉",62,73,21,31,NA,"三國志4",16,NA,NA,NA
"軻比能",61,80,19,23,NA,"三國志4",15,NA,NA,NA
"雅丹",59,78,36,20,NA,"三國志4",43,NA,NA,NA
"馮習",61,60,40,51,NA,"三國志4",41,NA,NA,NA
"黃忠",93,97,67,88,NA,"三國志4",65,NA,NA,NA
"黃祖",60,68,50,32,NA,"三國志4",27,NA,NA,NA
"黃皓",38,16,49,19,NA,"三國志4",71,NA,NA,NA
"黃蓋",83,85,68,82,NA,"三國志4",47,NA,NA,NA
"黃權",71,45,84,66,NA,"三國志4",71,NA,NA,NA
"楊松",32,45,57,37,NA,"三國志4",39,NA,NA,NA
"楊秋",58,66,17,34,NA,"三國志4",12,NA,NA,NA
"楊修",32,26,93,50,NA,"三國志4",83,NA,NA,NA
"楊祚",72,63,45,40,NA,"三國志4",39,NA,NA,NA
"楊彪",41,57,62,72,NA,"三國志4",71,NA,NA,NA
"楊儀",72,61,70,56,NA,"三國志4",72,NA,NA,NA
"楊鋒",62,67,23,27,NA,"三國志4",21,NA,NA,NA
"楊濟",61,57,60,60,NA,"三國志4",63,NA,NA,NA
"楊懷",63,76,45,58,NA,"三國志4",31,NA,NA,NA
"萬彧",53,47,60,61,NA,"三國志4",60,NA,NA,NA
"董允",67,18,85,70,NA,"三國志4",87,NA,NA,NA
"董卓",78,89,55,46,NA,"三國志4",47,NA,NA,NA
"董和",52,70,56,53,NA,"三國志4",70,NA,NA,NA
"董承",79,72,56,80,NA,"三國志4",44,NA,NA,NA
"董旻",45,55,49,45,NA,"三國志4",33,NA,NA,NA
"董昭",49,52,63,60,NA,"三國志4",77,NA,NA,NA
"董荼那",61,71,28,22,NA,"三國志4",20,NA,NA,NA
"董厥",68,60,70,63,NA,"三國志4",71,NA,NA,NA
"董衡",75,70,44,74,NA,"三國志4",37,NA,NA,NA
"董襲",64,70,37,51,NA,"三國志4",36,NA,NA,NA
"虞翻",30,44,77,74,NA,"三國志4",81,NA,NA,NA
"賈充",53,29,90,61,NA,"三國志4",81,NA,NA,NA
"賈逵",59,54,64,69,NA,"三國志4",73,NA,NA,NA
"賈詡",75,30,96,67,NA,"三國志4",93,NA,NA,NA
"賈範",60,68,64,79,NA,"三國志4",45,NA,NA,NA
"雍闓",55,74,42,51,NA,"三國志4",30,NA,NA,NA
"雷銅",78,86,45,54,NA,"三國志4",32,NA,NA,NA
"雷薄",57,65,39,16,NA,"三國志4",27,NA,NA,NA
"廖化",61,63,60,65,NA,"三國志4",47,NA,NA,NA
"徹里吉",62,78,35,40,NA,"三國志4",29,NA,NA,NA
"滿寵",72,37,81,92,NA,"三國志4",69,NA,NA,NA
"臧霸",44,77,44,72,NA,"三國志4",33,NA,NA,NA
"裴秀",41,68,63,60,NA,"三國志4",67,NA,NA,NA
"趙統",63,70,67,69,NA,"三國志4",52,NA,NA,NA
"趙累",51,56,70,74,NA,"三國志4",64,NA,NA,NA
"趙雲",96,98,85,95,NA,"三國志4",80,NA,NA,NA
"趙廣",68,73,65,69,NA,"三國志4",53,NA,NA,NA
"趙範",48,50,53,41,NA,"三國志4",58,NA,NA,NA
"蒯良",41,31,85,64,NA,"三國志4",82,NA,NA,NA
"蒯越",29,31,79,63,NA,"三國志4",85,NA,NA,NA
"劉巴",51,55,70,49,NA,"三國志4",63,NA,NA,NA
"劉永",46,53,64,60,NA,"三國志4",69,NA,NA,NA
"劉岱",58,63,44,19,NA,"三國志4",30,NA,NA,NA
"劉表",70,65,69,68,NA,"三國志4",74,NA,NA,NA
"劉封",60,67,57,60,NA,"三國志4",51,NA,NA,NA
"劉度",44,53,55,64,NA,"三國志4",62,NA,NA,NA
"劉豹",80,65,78,59,NA,"三國志4",67,NA,NA,NA
"劉焉",36,42,72,84,NA,"三國志4",82,NA,NA,NA
"劉理",43,48,61,68,NA,"三國志4",67,NA,NA,NA
"劉備",60,72,76,99,NA,"三國志4",85,NA,NA,NA
"劉循",72,58,51,60,NA,"三國志4",45,NA,NA,NA
"劉琦",47,13,73,68,NA,"三國志4",61,NA,NA,NA
"劉琮",46,56,49,51,NA,"三國志4",62,NA,NA,NA
"劉璋",48,53,50,82,NA,"三國志4",63,NA,NA,NA
"劉賢",47,59,57,49,NA,"三國志4",64,NA,NA,NA
"劉曄",56,33,83,79,NA,"三國志4",76,NA,NA,NA
"劉諶",67,64,61,80,NA,"三國志4",68,NA,NA,NA
"劉禪",20,13,17,70,NA,"三國志4",36,NA,NA,NA
"劉繇",19,15,40,23,NA,"三國志4",54,NA,NA,NA
"審配",74,70,69,76,NA,"三國志4",84,NA,NA,NA
"樊建",54,31,68,65,NA,"三國志4",64,NA,NA,NA
"樊稠",67,81,25,36,NA,"三國志4",15,NA,NA,NA
"樂進",68,79,44,75,NA,"三國志4",32,NA,NA,NA
"樂綝",57,62,44,30,NA,"三國志4",26,NA,NA,NA
"潘鳳",65,79,18,23,NA,"三國志4",14,NA,NA,NA
"潘璋",69,78,39,54,NA,"三國志4",28,NA,NA,NA
"滕胤",42,14,68,66,NA,"三國志4",79,NA,NA,NA
"蔣欽",70,79,68,67,NA,"三國志4",50,NA,NA,NA
"蔣舒",58,57,48,39,NA,"三國志4",44,NA,NA,NA
"蔣琬",74,61,85,83,NA,"三國志4",93,NA,NA,NA
"蔣幹",31,22,68,13,NA,"三國志4",26,NA,NA,NA
"蔣義渠",64,71,36,60,NA,"三國志4",32,NA,NA,NA
"蔣濟",30,26,82,51,NA,"三國志4",70,NA,NA,NA
"蔡中",30,49,38,35,NA,"三國志4",41,NA,NA,NA
"蔡和",40,51,40,36,NA,"三國志4",36,NA,NA,NA
"蔡邕",39,34,84,70,NA,"三國志4",64,NA,NA,NA
"蔡瑁",85,72,68,55,NA,"三國志4",74,NA,NA,NA
"諸葛尚",60,77,71,61,NA,"三國志4",50,NA,NA,NA
"諸葛亮",97,55,100,96,NA,"三國志4",96,NA,NA,NA
"諸葛恪",68,50,91,76,NA,"三國志4",83,NA,NA,NA
"諸葛緒",49,57,29,40,NA,"三國志4",33,NA,NA,NA
"諸葛瑾",56,47,89,94,NA,"三國志4",90,NA,NA,NA
"諸葛誕",74,82,71,84,NA,"三國志4",59,NA,NA,NA
"諸葛靚",61,71,68,67,NA,"三國志4",49,NA,NA,NA
"諸葛瞻",74,60,72,80,NA,"三國志4",60,NA,NA,NA
"鄧艾",93,85,93,75,NA,"三國志4",81,NA,NA,NA
"鄧忠",71,78,53,60,NA,"三國志4",42,NA,NA,NA
"鄧芝",69,51,84,93,NA,"三國志4",78,NA,NA,NA
"鄧賢",64,69,66,61,NA,"三國志4",70,NA,NA,NA
"鞏志",43,46,65,50,NA,"三國志4",59,NA,NA,NA
"魯肅",80,57,92,90,NA,"三國志4",95,NA,NA,NA
"橋瑁",50,61,58,35,NA,"三國志4",38,NA,NA,NA
"盧植",86,66,82,83,NA,"三國志4",70,NA,NA,NA
"閻宇",60,57,20,36,NA,"三國志4",46,NA,NA,NA
"閻圃",33,32,80,55,NA,"三國志4",77,NA,NA,NA
"霍弋",69,71,65,65,NA,"三國志4",52,NA,NA,NA
"霍峻",65,67,66,70,NA,"三國志4",53,NA,NA,NA
"駱統",31,42,66,28,NA,"三國志4",73,NA,NA,NA
"鮑隆",61,70,39,45,NA,"三國志4",27,NA,NA,NA
"濮陽興",63,57,71,65,NA,"三國志4",83,NA,NA,NA
"糜竺",35,40,65,80,NA,"三國志4",78,NA,NA,NA
"糜芳",60,66,24,22,NA,"三國志4",19,NA,NA,NA
"薛綜",30,34,63,66,NA,"三國志4",73,NA,NA,NA
"謝旌",71,73,24,30,NA,"三國志4",27,NA,NA,NA
"蹋頓",57,69,37,42,NA,"三國志4",34,NA,NA,NA
"鍾會",84,73,95,78,NA,"三國志4",87,NA,NA,NA
"鍾繇",16,15,67,31,NA,"三國志4",79,NA,NA,NA
"韓玄",34,52,34,19,NA,"三國志4",30,NA,NA,NA
"韓嵩",28,37,70,55,NA,"三國志4",86,NA,NA,NA
"韓當",71,69,65,60,NA,"三國志4",48,NA,NA,NA
"韓遂",71,69,63,75,NA,"三國志4",66,NA,NA,NA
"韓暹",52,56,40,47,NA,"三國志4",29,NA,NA,NA
"韓馥",58,66,54,33,NA,"三國志4",41,NA,NA,NA
"簡雍",39,39,70,77,NA,"三國志4",76,NA,NA,NA
"顏良",86,93,34,55,NA,"三國志4",23,NA,NA,NA
"魏延",80,94,45,41,NA,"三國志4",35,NA,NA,NA
"魏續",61,74,44,40,NA,"三國志4",39,NA,NA,NA
"龐統",90,60,98,83,NA,"三國志4",86,NA,NA,NA
"龐德",82,96,71,70,NA,"三國志4",35,NA,NA,NA
"龐羲",31,29,60,68,NA,"三國志4",73,NA,NA,NA
"譚雄",66,80,22,26,NA,"三國志4",20,NA,NA,NA
"譙周",23,21,76,64,NA,"三國志4",63,NA,NA,NA
"關平",79,81,72,74,NA,"三國志4",55,NA,NA,NA
"關羽",100,98,82,96,NA,"三國志4",65,NA,NA,NA
"關索",78,85,68,70,NA,"三國志4",57,NA,NA,NA
"關興",85,86,70,72,NA,"三國志4",50,NA,NA,NA
"關彝",51,63,60,60,NA,"三國志4",36,NA,NA,NA
"嚴白虎",71,76,51,56,NA,"三國志4",47,NA,NA,NA
"嚴綱",55,68,49,39,NA,"三國志4",36,NA,NA,NA
"嚴輿",45,72,47,45,NA,"三國志4",48,NA,NA,NA
"嚴顏",87,86,72,78,NA,"三國志4",69,NA,NA,NA
"蘇飛",64,68,30,75,NA,"三國志4",16,NA,NA,NA
"黨均",51,49,60,44,NA,"三國志4",41,NA,NA,NA
"闞澤",65,44,78,72,NA,"三國志4",83,NA,NA,NA
"顧雍",22,16,72,75,NA,"三國志4",76,NA,NA,NA
"丁奉",NA,84,68,72,NA,"三國志5",75,NA,NA,NA
"丁原",NA,79,55,69,NA,"三國志5",48,NA,NA,NA
"于吉",NA,9,99,95,NA,"三國志5",23,NA,NA,NA
"于禁",NA,79,71,77,NA,"三國志5",40,NA,NA,NA
"于詮",NA,58,44,62,NA,"三國志5",51,NA,NA,NA
"兀突骨",NA,88,10,36,NA,"三國志5",9,NA,NA,NA
"土安",NA,78,13,19,NA,"三國志5",20,NA,NA,NA
"大喬",NA,11,72,92,NA,"三國志5",78,NA,NA,NA
"小喬",NA,12,73,92,NA,"三國志5",77,NA,NA,NA
"尹大目",NA,55,67,50,NA,"三國志5",70,NA,NA,NA
"尹賞",NA,34,44,44,NA,"三國志5",68,NA,NA,NA
"尹默",NA,17,73,47,NA,"三國志5",85,NA,NA,NA
"公孫度",NA,77,42,70,NA,"三國志5",23,NA,NA,NA
"公孫恭",NA,40,75,61,NA,"三國志5",60,NA,NA,NA
"公孫康",NA,70,48,71,NA,"三國志5",21,NA,NA,NA
"公孫淵",NA,83,59,74,NA,"三國志5",67,NA,NA,NA
"公孫越",NA,57,37,59,NA,"三國志5",46,NA,NA,NA
"公孫範",NA,69,64,61,NA,"三國志5",62,NA,NA,NA
"公孫續",NA,68,54,66,NA,"三國志5",63,NA,NA,NA
"公孫瓚",NA,86,66,70,NA,"三國志5",56,NA,NA,NA
"卞氏",NA,27,74,87,NA,"三國志5",76,NA,NA,NA
"卞喜",NA,70,28,37,NA,"三國志5",36,NA,NA,NA
"太史享",NA,66,48,60,NA,"三國志5",59,NA,NA,NA
"太史慈",NA,96,67,72,NA,"三國志5",39,NA,NA,NA
"孔伷",NA,32,81,44,NA,"三國志5",53,NA,NA,NA
"孔融",NA,37,89,72,NA,"三國志5",75,NA,NA,NA
"文欽",NA,83,45,42,NA,"三國志5",36,NA,NA,NA
"文聘",NA,82,43,66,NA,"三國志5",65,NA,NA,NA
"文鴦",NA,91,42,60,NA,"三國志5",39,NA,NA,NA
"文醜",NA,97,25,67,NA,"三國志5",12,NA,NA,NA
"木鹿大王",NA,74,61,45,NA,"三國志5",31,NA,NA,NA
"毛玠",NA,60,57,60,NA,"三國志5",82,NA,NA,NA
"牛金",NA,81,39,58,NA,"三國志5",24,NA,NA,NA
"牛輔",NA,60,21,37,NA,"三國志5",26,NA,NA,NA
"王子服",NA,68,64,78,NA,"三國志5",61,NA,NA,NA
"王允",NA,29,72,78,NA,"三國志5",92,NA,NA,NA
"王平",NA,79,71,71,NA,"三國志5",54,NA,NA,NA
"王伉",NA,47,60,70,NA,"三國志5",67,NA,NA,NA
"王戎",NA,44,81,55,NA,"三國志5",60,NA,NA,NA
"王甫",NA,42,75,80,NA,"三國志5",69,NA,NA,NA
"王威",NA,70,59,66,NA,"三國志5",52,NA,NA,NA
"王昶",NA,71,53,59,NA,"三國志5",42,NA,NA,NA
"王修",NA,39,62,69,NA,"三國志5",67,NA,NA,NA
"王朗",NA,50,61,63,NA,"三國志5",62,NA,NA,NA
"王真",NA,69,28,38,NA,"三國志5",37,NA,NA,NA
"王基",NA,76,69,61,NA,"三國志5",48,NA,NA,NA
"王異",NA,58,82,73,NA,"三國志5",68,NA,NA,NA
"王累",NA,26,80,76,NA,"三國志5",89,NA,NA,NA
"王渾",NA,65,60,71,NA,"三國志5",76,NA,NA,NA
"王經",NA,42,77,74,NA,"三國志5",63,NA,NA,NA
"王粲",NA,23,83,67,NA,"三國志5",86,NA,NA,NA
"王頎",NA,63,42,46,NA,"三國志5",30,NA,NA,NA
"王濬",NA,84,80,80,NA,"三國志5",64,NA,NA,NA
"王雙",NA,89,18,32,NA,"三國志5",21,NA,NA,NA
"毌丘儉",NA,76,79,62,NA,"三國志5",47,NA,NA,NA
"北斗",NA,5,96,94,NA,"三國志5",22,NA,NA,NA
"司馬孚",NA,28,70,73,NA,"三國志5",81,NA,NA,NA
"司馬攸",NA,30,81,78,NA,"三國志5",63,NA,NA,NA
"司馬炎",NA,85,71,86,NA,"三國志5",43,NA,NA,NA
"司馬昭",NA,65,87,74,NA,"三國志5",90,NA,NA,NA
"司馬師",NA,65,93,76,NA,"三國志5",82,NA,NA,NA
"司馬朗",NA,24,67,79,NA,"三國志5",89,NA,NA,NA
"司馬望",NA,60,62,68,NA,"三國志5",80,NA,NA,NA
"司馬徽",NA,18,96,78,NA,"三國志5",74,NA,NA,NA
"司馬懿",NA,67,99,79,NA,"三國志5",91,NA,NA,NA
"左慈",NA,10,99,91,NA,"三國志5",21,NA,NA,NA
"甘寧",NA,96,60,71,NA,"三國志5",34,NA,NA,NA
"田豫",NA,72,80,75,NA,"三國志5",78,NA,NA,NA
"田豐",NA,47,95,77,NA,"三國志5",83,NA,NA,NA
"田疇",NA,74,52,76,NA,"三國志5",62,NA,NA,NA
"田續",NA,62,50,40,NA,"三國志5",29,NA,NA,NA
"申耽",NA,68,59,61,NA,"三國志5",50,NA,NA,NA
"伊籍",NA,27,81,76,NA,"三國志5",88,NA,NA,NA
"全琮",NA,85,76,78,NA,"三國志5",62,NA,NA,NA
"全端",NA,75,60,62,NA,"三國志5",31,NA,NA,NA
